subject,TR,BOLD,hemisphere,faces
115825,1,"[10239.25585938 11871.86035156 11993.78808594 ... 10645.18066406
 10715.79589844 10836.95605469]",RH,[0.]
115825,2,"[10003.91308594 12004.69433594 11882.55957031 ... 10702.8671875
 10901.59472656 10725.07421875]",RH,[0.]
115825,3,"[10490.70507812 11965.4453125  11899.50488281 ... 10890.80175781
 11043.55566406 10925.32519531]",RH,[0.]
115825,4,"[10201.92675781 12261.61328125 12231.50097656 ... 10776.61523438
 10831.16992188 10913.91113281]",RH,[0.]
115825,5,"[10609.58886719 11908.88574219 12012.48046875 ... 10621.70019531
 10601.828125   10718.78417969]",RH,[0.]
115825,6,"[10275.1328125  12428.75878906 12218.14746094 ... 10699.1171875
 10576.73535156 10903.93847656]",RH,[0.]
115825,7,"[10199.06738281 12159.76757812 12019.44140625 ... 10906.09863281
 10970.75       10872.60546875]",RH,[0.]
115825,8,"[10011.92773438 11757.05175781 11586.25       ... 10628.98828125
 10702.29101562 10773.66796875]",RH,[0.]
115825,9,"[10223.48242188 11990.14257812 11719.57714844 ... 10338.36914062
 10447.86328125 10431.52929688]",RH,[0.]
115825,10,"[ 9909.30859375 11946.12207031 11794.80371094 ... 10709.80957031
 10673.35058594 10836.94628906]",RH,[0.]
115825,11,"[ 9870.24804688 11822.26660156 11794.53808594 ... 10239.25
 10425.984375   10479.56054688]",RH,[0.]
115825,12,"[ 9848.86816406 11659.65527344 11872.29003906 ... 10290.91503906
 10471.82324219 10484.18945312]",RH,[0.]
115825,13,"[10434.29003906 11965.98730469 11985.5234375  ... 10787.94140625
 10858.85449219 10898.35546875]",RH,[0.]
115825,14,"[ 9982.81738281 11838.375      11814.23828125 ... 10455.80371094
 10449.13476562 10572.18652344]",RH,[0.]
115825,15,"[10183.55371094 11884.34863281 11838.38964844 ... 10407.99609375
 10518.71289062 10651.02832031]",RH,[0.]
115825,16,"[10029.56738281 11593.53320312 11441.29101562 ... 10668.13671875
 10697.45898438 10590.80957031]",RH,[0.]
115825,17,"[ 9785.62304688 12016.22363281 11871.16992188 ... 10306.890625
 10468.53320312 10434.63476562]",RH,[0.]
115825,18,"[10206.09765625 11956.09667969 11858.08496094 ... 10577.18261719
 10668.34863281 10741.91796875]",RH,[0.]
